VenteID;DateVente;ClientID;ProduitID;Quantite
V00123;2024-03-14;C001;P004;5
V00124;2022-04-19;C009;P003;2
V00125;2023-01-08;C003;P007;1
V00126;2024-06-19;C004;P005;4
V00127;2022-09-05;C002;P006;5
V00128;2024-08-18;C008;P007;2
V00129;2022-12-26;C002;P005;1
V00130;2022-05-10;C005;P010;3
V00131;2024-07-25;C007;P007;5
V00132;2023-03-17;C002;P008;1
V00133;2023-02-11;C010;P005;1
V00134;2024-06-26;C010;P002;5
V00135;2023-03-21;C006;P010;2
V00136;2023-01-17;C004;P010;1
V00137;2022-03-01;C010;P002;3
V00138;2023-10-30;C005;P007;3
V00139;2023-01-08;C007;P001;5
V00140;2022-12-20;C008;P006;3
V00141;2022-11-14;C007;P004;4
V00142;2023-03-15;C007;P010;2
V00143;2024-04-23;C003;P001;5
V00144;2022-12-17;C007;P007;3
V00145;2022-07-26;C003;P005;4
V00146;2024-05-24;C004;P010;4
V00147;2023-11-01;C006;P001;5
V00148;2022-06-04;C010;P010;4
V00149;2023-09-13;C007;P008;2
V00150;2023-04-29;C001;P001;5
V00151;2022-10-22;C006;P004;5
V00152;2023-04-30;C004;P005;2
V00153;2022-12-08;C001;P003;3
V00154;2023-10-28;C003;P006;3
V00155;2024-01-15;C007;P002;3
V00156;2023-05-16;C002;P010;2
V00157;2023-02-21;C009;P008;5
V00158;2023-10-18;C005;P001;1
V00159;2023-09-23;C001;P002;3
V00160;2023-07-01;C003;P009;1
V00161;2024-05-05;C006;P002;5
V00162;2022-09-08;C008;P006;2
V00163;2024-09-28;C009;P009;4
V00164;2024-08-06;C008;P010;2
V00165;2024-10-06;C001;P002;2
V00166;2023-03-25;C004;P004;5
V00167;2022-11-27;C007;P007;2
V00168;2024-03-16;C009;P009;4
V00169;2023-08-17;C007;P003;3
V00170;2023-05-22;C001;P010;2
V00171;2022-02-10;C006;P007;5
V00172;2023-11-13;C001;P008;3
V00173;2023-06-19;C007;P001;1
V00174;2023-06-04;C004;P008;5
V00175;2024-10-17;C001;P005;3
V00176;2022-08-27;C007;P003;2
V00177;2023-01-05;C007;P002;3
V00178;2024-07-04;C004;P006;3
V00179;2024-06-17;C007;P004;4
V00180;2022-01-06;C001;P002;4
V00181;2023-01-18;C006;P010;5
V00182;2022-12-24;C001;P004;5
V00183;2024-06-20;C003;P007;1
V00184;2022-05-24;C009;P003;3
V00185;2022-11-28;C002;P006;3
V00186;2022-04-24;C007;P003;5
V00187;2023-11-10;C005;P007;1
V00188;2023-05-20;C001;P001;2
V00189;2024-08-17;C010;P003;1
V00190;2024-12-15;C009;P003;5
V00191;2024-10-16;C010;P002;1
V00192;2022-08-19;C002;P007;5
V00193;2023-03-15;C001;P010;4
V00194;2024-10-01;C004;P001;5
V00195;2023-11-01;C010;P009;3
V00196;2022-10-11;C001;P009;3
V00197;2024-11-28;C010;P008;3
V00198;2023-05-13;C002;P006;5
V00199;2022-09-25;C003;P005;4
V00200;2022-11-02;C001;P009;4
V00201;2022-02-27;C004;P001;1
V00202;2022-07-21;C001;P003;3
V00203;2022-10-03;C003;P010;1
V00204;2024-01-17;C006;P004;3
V00205;2024-03-24;C003;P004;5
V00206;2022-04-22;C001;P006;5
V00207;2023-01-21;C010;P009;3
V00208;2022-12-21;C005;P004;5
V00209;2022-03-19;C006;P009;1
V00210;2022-04-02;C003;P005;3
V00211;2023-06-28;C004;P004;1
V00212;2024-09-28;C008;P010;5
V00213;2024-08-11;C006;P002;5
V00214;2024-11-28;C010;P001;2
V00215;2024-10-28;C008;P007;3
V00216;2024-11-02;C010;P006;3
V00217;2024-06-16;C006;P008;4
V00218;2023-12-17;C004;P004;3
V00219;2023-03-08;C002;P006;1
V00220;2024-02-02;C010;P002;2
V00221;2024-11-19;C003;P008;3
V00222;2024-01-02;C007;P005;1
V00223;2023-01-14;C001;P006;4
V00224;2023-04-30;C001;P005;4
V00225;2024-12-31;C010;P007;5
V00226;2024-03-18;C009;P010;3
V00227;2022-05-05;C007;P004;3
V00228;2022-03-24;C001;P006;3
V00229;2023-02-18;C003;P002;5
V00230;2022-02-05;C008;P001;2
V00231;2023-07-24;C006;P003;3
V00232;2023-09-11;C008;P002;3
V00233;2023-04-29;C005;P005;5
V00234;2024-03-05;C006;P001;5
V00235;2022-06-17;C005;P002;1
V00236;2023-10-19;C005;P003;1
V00237;2022-08-13;C010;P009;5
V00238;2024-07-31;C003;P004;2
V00239;2022-05-17;C001;P004;2
V00240;2023-12-12;C006;P002;4
V00241;2022-11-30;C005;P010;4
V00242;2023-03-07;C009;P006;3
V00243;2022-07-11;C010;P006;3
V00244;2022-02-16;C005;P009;4
V00245;2022-11-02;C005;P010;4
V00246;2022-12-09;C006;P008;4
V00247;2023-12-15;C004;P010;4
V00248;2022-02-19;C009;P010;3
V00249;2022-07-09;C002;P001;3
V00250;2023-09-13;C002;P004;5
V00251;2023-02-12;C009;P006;2
V00252;2024-09-05;C001;P010;3
V00253;2023-07-22;C009;P008;3
V00254;2024-11-13;C002;P002;1
V00255;2023-01-30;C009;P008;2
V00256;2022-04-27;C010;P008;2
V00257;2023-02-07;C007;P002;5
V00258;2022-01-11;C006;P008;4
V00259;2024-05-01;C006;P001;2
V00260;2024-08-20;C009;P004;3
V00261;2022-06-19;C004;P001;5
V00262;2023-03-07;C005;P006;2
V00263;2024-10-20;C005;P007;4
V00264;2022-07-10;C006;P009;5
V00265;2022-08-24;C007;P008;4
V00266;2022-10-25;C007;P001;5
V00267;2024-03-25;C003;P010;1
V00268;2022-04-10;C003;P005;1
V00269;2022-11-06;C010;P002;4
V00270;2022-11-07;C006;P003;1
V00271;2022-08-25;C003;P005;3
V00272;2023-03-01;C002;P007;3
V00273;2022-11-19;C008;P001;3
V00274;2022-08-30;C010;P006;5
V00275;2024-07-31;C008;P002;3
V00276;2024-04-19;C001;P007;5
V00277;2024-08-13;C006;P005;3
V00278;2022-10-13;C007;P009;5
V00279;2022-04-20;C007;P004;4
V00280;2022-08-24;C001;P009;4
V00281;2022-07-02;C004;P010;3
V00282;2022-08-26;C007;P006;1
V00283;2022-08-19;C002;P004;4
V00284;2024-02-23;C007;P004;4
V00285;2024-04-04;C003;P008;2
V00286;2022-08-03;C005;P007;2
V00287;2022-09-23;C009;P009;5
V00288;2023-01-06;C007;P005;3
V00289;2022-03-27;C001;P002;4
V00290;2022-09-05;C008;P009;4
V00291;2022-03-07;C001;P008;1
V00292;2024-07-03;C005;P007;2
V00293;2022-10-06;C008;P008;3
V00294;2023-12-04;C003;P008;3
V00295;2024-12-19;C007;P007;5
V00296;2024-06-15;C007;P001;2
V00297;2023-05-25;C001;P001;3
V00298;2023-02-10;C003;P007;1
V00299;2023-03-15;C004;P005;2
V00300;2022-03-17;C006;P004;4
V00301;2023-08-25;C002;P005;4
V00302;2023-01-30;C006;P006;4
V00303;2024-06-02;C009;P010;3
V00304;2024-02-18;C006;P008;5
V00305;2023-11-22;C001;P004;1
V00306;2023-03-03;C002;P002;4
V00307;2022-01-28;C006;P008;3
V00308;2023-01-02;C004;P004;1
V00309;2024-07-21;C001;P001;2
V00310;2023-09-10;C002;P004;2
V00311;2024-12-02;C008;P004;4
V00312;2022-08-01;C004;P003;2
V00313;2022-11-03;C002;P005;4
V00314;2023-08-01;C007;P010;4
V00315;2022-12-27;C008;P007;3
V00316;2022-07-25;C002;P008;2
V00317;2022-07-04;C006;P006;1
V00318;2023-08-06;C007;P008;3
V00319;2022-02-16;C001;P005;3
V00320;2024-03-19;C006;P006;1
V00321;2024-12-10;C009;P002;2
V00322;2022-10-15;C008;P001;3
V00323;2023-11-22;C010;P005;1
V00324;2022-01-18;C001;P009;4
V00325;2023-10-31;C006;P005;1
V00326;2022-10-03;C003;P009;1
V00327;2022-11-04;C003;P001;3
V00328;2023-08-11;C005;P010;3
V00329;2024-02-09;C005;P005;3
V00330;2022-09-21;C002;P008;3
V00331;2022-02-05;C004;P004;5
V00332;2023-02-01;C004;P002;2
V00333;2024-01-22;C010;P009;3
V00334;2023-12-18;C006;P002;3
V00335;2024-02-19;C005;P006;3
V00336;2022-05-16;C008;P007;5
V00337;2022-01-03;C010;P001;3
V00338;2023-03-16;C005;P006;3
V00339;2023-12-09;C001;P005;4
V00340;2022-09-20;C007;P003;2
V00341;2024-10-13;C005;P008;1
V00342;2022-02-04;C006;P001;4
V00343;2022-07-19;C004;P008;5
V00344;2023-04-14;C002;P010;2
V00345;2024-07-18;C006;P010;2
V00346;2022-08-31;C008;P006;3
V00347;2022-10-18;C010;P010;4
V00348;2023-07-19;C001;P005;4
V00349;2023-01-26;C006;P008;4
V00350;2024-05-18;C008;P007;5
V00351;2024-01-06;C002;P002;1
V00352;2023-10-31;C010;P002;5
V00353;2024-01-21;C002;P002;5
V00354;2024-03-04;C009;P001;3
V00355;2023-09-21;C010;P008;1
V00356;2022-09-24;C009;P010;3
V00357;2023-03-11;C007;P008;5
V00358;2022-02-25;C007;P007;1
V00359;2023-06-16;C005;P005;1
V00360;2022-06-03;C007;P008;5
V00361;2022-11-16;C010;P006;4
V00362;2022-02-22;C004;P005;1
V00363;2022-10-16;C007;P006;3
V00364;2024-09-13;C006;P007;2
V00365;2022-04-21;C007;P006;1
V00366;2024-05-15;C002;P008;4
V00367;2022-09-10;C009;P003;1
V00368;2024-01-12;C004;P009;3
V00369;2022-11-28;C004;P010;3
V00370;2024-09-08;C006;P008;4
V00371;2023-04-18;C010;P003;5
V00372;2024-10-10;C008;P003;3
V00373;2023-07-24;C005;P007;2
V00374;2022-05-04;C009;P010;1
V00375;2022-12-07;C008;P004;5
V00376;2022-05-06;C007;P005;4
V00377;2024-06-26;C009;P009;5
V00378;2022-06-24;C001;P006;2
V00379;2024-06-02;C006;P005;2
V00380;2024-05-22;C008;P001;4
V00381;2022-02-15;C001;P004;5
V00382;2024-04-24;C003;P010;4
V00383;2023-04-13;C004;P001;1
V00384;2022-09-24;C008;P010;5
V00385;2022-09-17;C008;P009;2
V00386;2023-07-31;C002;P005;1
V00387;2024-12-23;C009;P007;4
V00388;2022-08-08;C005;P009;1
V00389;2023-12-03;C004;P006;5
V00390;2023-10-17;C001;P007;5
V00391;2023-06-19;C002;P001;5
V00392;2022-11-21;C010;P007;5
V00393;2022-01-16;C003;P007;5
V00394;2023-03-31;C003;P010;3
V00395;2023-08-08;C001;P010;1
V00396;2022-03-08;C010;P003;1
V00397;2023-05-27;C006;P007;1
V00398;2022-05-01;C007;P002;3
V00399;2022-09-13;C008;P004;3
V00400;2022-02-04;C004;P009;5
V00401;2024-01-14;C004;P003;2
V00402;2024-04-10;C004;P007;5
V00403;2024-10-13;C003;P009;1
V00404;2024-07-13;C010;P008;1
V00405;2024-01-25;C008;P001;1
V00406;2024-05-16;C004;P010;3
V00407;2023-09-24;C003;P008;2
V00408;2022-05-13;C004;P008;2
V00409;2024-01-30;C010;P008;1
V00410;2024-06-25;C007;P008;2
V00411;2023-12-14;C005;P010;4
V00412;2024-02-01;C005;P006;3
V00413;2023-08-07;C001;P008;1
V00414;2024-05-20;C003;P001;1
V00415;2022-12-20;C009;P004;5
V00416;2023-05-20;C003;P010;2
V00417;2023-05-30;C006;P010;2
V00418;2024-09-09;C004;P007;2
V00419;2022-08-06;C003;P003;5
V00420;2022-10-08;C007;P007;4
V00421;2023-05-30;C008;P004;2
V00422;2024-08-03;C007;P008;4
V00423;2024-06-08;C010;P008;5
V00424;2022-01-06;C010;P010;1
V00425;2022-08-15;C003;P003;2
V00426;2022-04-01;C005;P008;1
V00427;2022-05-02;C003;P002;2
V00428;2022-08-31;C008;P002;5
V00429;2024-11-19;C008;P001;5
V00430;2022-09-09;C004;P008;4
V00431;2022-03-21;C010;P004;5
V00432;2023-03-01;C003;P006;2
V00433;2022-02-24;C004;P002;1
V00434;2024-04-24;C009;P003;5
V00435;2023-04-16;C006;P009;5
V00436;2022-07-25;C003;P010;5
V00437;2024-07-09;C001;P007;2
V00438;2024-03-27;C003;P003;5
V00439;2023-07-20;C004;P003;3
V00440;2022-07-04;C003;P001;3
V00441;2024-09-28;C001;P007;4
V00442;2022-11-28;C010;P009;5
V00443;2024-05-17;C002;P003;1
V00444;2024-11-23;C005;P005;4
V00445;2022-03-29;C001;P004;4
V00446;2022-01-27;C002;P003;4
V00447;2024-11-24;C007;P004;4
V00448;2022-07-19;C010;P004;2
V00449;2024-01-21;C004;P004;3
V00450;2024-07-06;C004;P001;2
V00451;2022-08-08;C003;P003;1
V00452;2022-10-31;C009;P004;5
V00453;2022-03-04;C005;P010;2
V00454;2022-08-10;C005;P010;3
V00455;2023-12-03;C003;P004;5
V00456;2022-05-05;C004;P005;1
V00457;2024-08-07;C005;P005;2
V00458;2022-06-22;C008;P007;3
V00459;2023-02-05;C002;P001;2
V00460;2024-11-07;C010;P007;4
V00461;2022-03-28;C010;P001;4
V00462;2024-04-16;C009;P007;3
V00463;2024-07-16;C003;P010;4
V00464;2022-07-28;C010;P005;3
V00465;2023-05-20;C001;P004;2
V00466;2022-04-21;C008;P001;4
V00467;2024-08-04;C006;P007;3
V00468;2023-04-15;C006;P010;3
V00469;2023-11-12;C002;P006;1
V00470;2022-06-13;C006;P003;3
V00471;2022-04-08;C005;P004;4
V00472;2023-08-13;C006;P006;5
V00473;2024-01-10;C003;P008;2
V00474;2024-12-22;C007;P009;2
V00475;2023-07-19;C001;P007;4
V00476;2024-10-04;C008;P006;5
V00477;2023-09-07;C006;P003;4
V00478;2023-02-13;C007;P010;4
V00479;2024-03-31;C010;P005;2
V00480;2022-12-25;C010;P002;4
V00481;2022-08-22;C010;P003;5
V00482;2023-02-07;C002;P009;3
V00483;2022-02-20;C004;P006;5
V00484;2022-02-05;C009;P004;1
V00485;2024-06-10;C004;P008;5
V00486;2023-01-08;C002;P001;4
V00487;2023-12-16;C001;P001;4
V00488;2024-12-24;C001;P007;3
V00489;2024-12-17;C007;P005;3
V00490;2023-12-29;C005;P005;5
V00491;2024-07-04;C004;P009;5
V00492;2024-05-22;C004;P009;2
V00493;2024-05-29;C003;P006;3
V00494;2023-06-04;C003;P005;4
V00495;2024-10-13;C007;P009;5
V00496;2022-03-02;C003;P008;4
V00497;2023-02-23;C003;P006;1
V00498;2022-09-04;C008;P004;3
V00499;2022-01-12;C008;P002;3
V00500;2023-11-15;C008;P002;4
V00501;2023-02-12;C008;P010;5
V00502;2023-02-15;C004;P009;2
V00503;2024-04-04;C004;P001;5
V00504;2022-11-17;C002;P005;5
V00505;2024-06-19;C007;P003;3
V00506;2023-06-05;C009;P006;2
V00507;2024-06-14;C001;P006;1
V00508;2024-03-17;C007;P005;3
V00509;2024-06-13;C007;P003;3
V00510;2022-11-01;C005;P009;4
V00511;2022-06-11;C008;P001;4
V00512;2023-12-25;C001;P006;3
V00513;2022-05-12;C008;P004;2
V00514;2024-12-10;C001;P008;2
V00515;2023-05-08;C004;P007;5
V00516;2022-10-11;C009;P005;3
V00517;2024-08-30;C006;P003;1
V00518;2022-02-08;C001;P006;2
V00519;2022-03-07;C004;P006;4
V00520;2022-04-28;C007;P001;5
V00521;2023-06-29;C001;P008;1
V00522;2024-04-05;C006;P009;5
V00523;2024-04-29;C010;P007;5
V00524;2024-05-21;C006;P009;4
V00525;2022-07-25;C003;P009;3
V00526;2023-09-29;C010;P008;5
V00527;2023-11-08;C009;P009;4
V00528;2022-02-21;C005;P007;4
V00529;2022-05-19;C003;P001;4
V00530;2022-08-27;C005;P003;5
V00531;2022-04-14;C002;P001;1
V00532;2024-07-04;C001;P004;1
V00533;2024-09-21;C008;P010;5
V00534;2024-08-15;C005;P003;2
V00535;2022-09-12;C001;P003;2
V00536;2023-06-01;C003;P002;5
V00537;2022-03-18;C008;P004;2
V00538;2022-02-10;C005;P002;2
V00539;2023-06-22;C001;P008;2
V00540;2023-04-29;C007;P001;3
V00541;2022-05-20;C008;P002;4
V00542;2023-07-07;C006;P010;5
V00543;2022-01-07;C009;P006;4
V00544;2023-10-08;C003;P009;2
V00545;2023-05-26;C007;P007;2
V00546;2022-05-15;C008;P007;1
V00547;2023-10-11;C007;P004;2
V00548;2022-12-19;C003;P010;4
V00549;2022-03-28;C006;P010;2
V00550;2023-06-08;C010;P003;2
V00551;2024-10-24;C001;P009;4
V00552;2022-03-19;C007;P008;5
V00553;2023-09-02;C003;P010;3
V00554;2024-10-14;C001;P009;1
V00555;2024-03-19;C001;P008;4
V00556;2024-12-19;C004;P003;1
V00557;2024-10-06;C007;P009;2
V00558;2023-04-04;C004;P008;5
V00559;2022-05-14;C009;P004;4
V00560;2023-02-11;C006;P002;4
V00561;2024-08-06;C007;P005;3
V00562;2024-06-18;C005;P003;5
V00563;2022-09-04;C007;P005;3
V00564;2024-04-29;C002;P010;4
V00565;2024-02-22;C005;P006;5
V00566;2023-08-23;C010;P007;2
V00567;2022-07-29;C008;P003;1
V00568;2024-04-21;C005;P010;3
V00569;2024-02-22;C006;P002;3
V00570;2022-07-23;C010;P008;3
V00571;2022-11-01;C008;P010;5
V00572;2023-03-19;C010;P007;4
V00573;2024-09-20;C004;P005;3
V00574;2023-08-11;C002;P005;4
V00575;2022-04-11;C009;P002;4
V00576;2024-09-20;C004;P007;3
V00577;2024-09-09;C010;P001;4
V00578;2023-06-30;C010;P004;5
V00579;2023-05-24;C008;P004;4
V00580;2023-04-23;C010;P003;5
V00581;2022-12-23;C009;P009;1
V00582;2023-10-23;C005;P009;1
V00583;2024-06-13;C010;P009;3
V00584;2023-01-10;C002;P001;3
V00585;2023-03-08;C005;P008;1
V00586;2024-11-21;C010;P001;2
V00587;2023-08-16;C009;P001;4
V00588;2022-08-22;C007;P006;4
V00589;2024-07-02;C001;P002;4
V00590;2022-01-31;C010;P001;3
V00591;2022-05-18;C010;P003;3
V00592;2023-06-25;C006;P009;5
V00593;2022-12-05;C006;P008;3
V00594;2024-06-01;C001;P005;2
V00595;2022-10-13;C005;P006;4
V00596;2022-02-23;C010;P002;2
V00597;2023-03-15;C004;P003;2
V00598;2024-08-14;C003;P001;4
V00599;2022-04-15;C007;P003;1
V00600;2024-11-21;C007;P003;3
V00601;2024-08-01;C005;P001;4
V00602;2022-12-18;C004;P002;1
V00603;2022-08-05;C003;P008;3
V00604;2022-07-02;C003;P006;4
V00605;2024-04-21;C004;P005;3
V00606;2022-04-23;C010;P006;2
V00607;2022-11-21;C005;P005;3
V00608;2022-02-26;C007;P002;3
V00609;2023-06-16;C002;P007;2
V00610;2022-07-14;C003;P005;1
V00611;2022-06-21;C002;P009;1
V00612;2023-04-27;C003;P008;3
V00613;2024-01-27;C009;P010;2
V00614;2024-11-16;C010;P003;1
V00615;2024-10-30;C009;P002;5
V00616;2024-07-07;C002;P001;4
V00617;2022-10-28;C002;P005;4
V00618;2022-08-18;C006;P007;3
V00619;2022-06-21;C010;P007;4
V00620;2024-06-29;C005;P003;1
V00621;2022-02-15;C009;P008;3
V00622;2024-10-28;C006;P006;2
V00623;2023-08-17;C004;P001;1
V00624;2024-11-06;C005;P002;2
V00625;2022-03-04;C001;P006;3
V00626;2022-05-25;C001;P003;1
V00627;2024-03-28;C002;P007;5
V00628;2023-06-17;C003;P010;1
V00629;2023-09-15;C008;P008;5
V00630;2024-12-31;C007;P005;5
V00631;2022-10-11;C003;P005;3
V00632;2022-11-26;C003;P003;1
V00633;2022-09-04;C004;P001;3
V00634;2024-07-13;C010;P004;4
V00635;2023-12-31;C009;P007;3
V00636;2024-12-04;C005;P001;1
V00637;2024-11-16;C008;P008;2
V00638;2023-04-23;C005;P009;2
V00639;2024-06-20;C003;P006;3
V00640;2024-11-04;C003;P005;5
V00641;2024-02-05;C006;P009;3
V00642;2024-06-15;C007;P004;1
V00643;2022-01-24;C008;P004;5
V00644;2022-12-20;C009;P001;1
V00645;2022-05-07;C008;P010;3
V00646;2022-02-22;C002;P006;2
V00647;2023-06-16;C009;P009;2
V00648;2022-04-06;C009;P008;2
V00649;2024-05-07;C009;P003;5
V00650;2024-08-29;C003;P004;5
V00651;2023-10-18;C003;P009;4
V00652;2024-08-27;C004;P004;4
V00653;2022-07-11;C008;P007;4
V00654;2023-01-04;C009;P009;2
V00655;2023-01-22;C009;P001;2
V00656;2024-02-18;C008;P007;4
V00657;2022-06-24;C001;P001;5
V00658;2023-09-06;C006;P002;1
V00659;2024-04-05;C009;P005;3
V00660;2022-07-07;C005;P006;2
V00661;2022-06-22;C002;P008;2
V00662;2022-11-20;C007;P010;2
V00663;2024-11-12;C009;P003;5
V00664;2024-10-20;C001;P004;1
V00665;2023-07-08;C007;P003;1
V00666;2022-12-05;C002;P007;4
V00667;2024-05-17;C004;P008;1
V00668;2024-10-30;C005;P002;5
V00669;2022-11-05;C010;P005;5
V00670;2024-08-06;C006;P009;1
V00671;2024-03-14;C007;P006;4
V00672;2024-09-04;C005;P009;1
V00673;2022-04-13;C008;P002;1
V00674;2023-07-02;C010;P010;3
V00675;2022-03-30;C010;P008;2
V00676;2023-12-28;C009;P001;2
V00677;2023-04-15;C005;P002;5
V00678;2022-08-30;C007;P006;1
V00679;2023-06-14;C001;P001;5
V00680;2022-07-01;C006;P002;3
V00681;2024-05-17;C009;P010;3
V00682;2022-08-19;C007;P007;4
V00683;2023-12-28;C008;P008;3
V00684;2024-05-24;C010;P010;5
V00685;2022-04-01;C005;P008;4
V00686;2024-10-09;C010;P003;3
V00687;2023-05-24;C007;P001;5
V00688;2022-12-29;C004;P010;5
V00689;2024-09-25;C009;P003;1
V00690;2023-08-05;C004;P006;3
V00691;2023-04-05;C001;P002;2
V00692;2023-11-14;C010;P010;4
V00693;2024-02-12;C008;P003;1
V00694;2023-12-27;C003;P001;2
V00695;2022-08-08;C004;P002;3
V00696;2024-07-31;C007;P009;5
V00697;2024-03-26;C002;P003;5
V00698;2023-01-08;C001;P009;4
V00699;2023-08-23;C009;P006;1
V00700;2022-04-03;C001;P003;1
V00701;2024-05-13;C010;P004;3
V00702;2023-08-03;C003;P004;2
V00703;2024-02-10;C007;P003;3
V00704;2024-02-25;C002;P010;5
V00705;2023-05-25;C007;P008;2
V00706;2023-06-27;C007;P001;1
V00707;2024-05-29;C003;P005;3
V00708;2022-02-22;C001;P010;1
V00709;2023-06-29;C002;P004;4
V00710;2024-07-16;C007;P008;4
V00711;2024-11-13;C006;P010;3
V00712;2023-10-02;C006;P006;1
V00713;2022-11-07;C006;P009;2
V00714;2022-05-13;C008;P003;1
V00715;2024-06-28;C009;P010;4
V00716;2022-01-24;C007;P002;1
V00717;2022-11-10;C005;P006;1
V00718;2023-11-24;C006;P009;5
V00719;2022-07-29;C008;P006;2
V00720;2024-03-01;C009;P006;2
V00721;2022-10-19;C007;P002;1
V00722;2022-11-24;C006;P002;4
V00723;2023-12-30;C006;P007;5
V00724;2023-05-13;C006;P004;5
V00725;2024-04-12;C008;P010;4
V00726;2023-07-18;C006;P008;3
V00727;2022-09-14;C002;P002;3
V00728;2022-01-01;C003;P005;2
V00729;2024-10-26;C005;P010;4
V00730;2023-03-31;C008;P003;1
V00731;2023-06-29;C007;P001;3
V00732;2024-12-30;C005;P008;4
V00733;2024-03-30;C001;P006;2
V00734;2024-12-26;C001;P008;2
